hash,block_number,index,status,pnl_heuristic,gross_profit,miner_tip,tx_cost,pnl
0x01252aa01151193b15a75d9464ca701b7362ae2ca854776bc40d995fa7c0266b,13664560,3,1,2,0.22846564778821568,0.11034890788170794,0.01616411481375968,0.10195262509274806
0x03a7fec5224d2c54c33cfe09b346ecac3ac44c8670b6fae9bf518ad1af1445ad,13685095,0,1,2,0.1594463193752122,0.07127250476071963,0.02221830994435857,0.06595550467013402
0x03e39bff94d872d2642cb19d0ed0c532b6773fccf8b20696578e2004f1947608,13623669,6,1,2,0.2504435587105842,0.09992697992552202,0.05798552701444469,0.0925310517706175
0x042996c02703f11e6c5235228d97268c0f587d6214c16fd68e1193dac4c21d6b,13740531,0,1,2,0.01811124954389538,0.00324191366835724,0.012028630625300603,0.002840705250237536
0x04a816363a13b3495a22327f9de05fe4cfa8c34ae941f7c6dcddd9ea33e46d1e,13667568,0,1,2,1.3584996814585892,0.6819668400922118,0.04480076900733815,0.6317320723590392
0x05553d1a76fecc2a8a1a27e16192028c1e54301132ee8a15a6226f53e7cb847f,13665608,0,1,2,2.550034292673558,1.3005174892635143,0.04592808795874996,1.2035887154512936
0x0691f223509df7e63287b55fabb03a4da4699be6e78bff1a0efc14052fe7c5ac,13621626,1,1,2,0.025830247596300232,0.0060184476899379,0.017779331208824054,0.0020324686975382762
0x06c4f10e451d491300385f101f52b02b0afd3acec7a987231fdce1f672000097,13714440,6,1,2,0.008506525000000112,0.0009527308,0.007325266377492008,0.00022852782250810423
0x0806979a78e7e9362924a7add891b149cb2b80a3dd85bbe03067f374c8b11061,13692856,0,1,2,0.13601525616116114,0.06147889578484464,0.017721115654587095,0.056815244721729406
0x094abf55fc376d12d8dec96059be824836bdf82f4ddb3922dcac51f5c1d26b65,13616007,4,1,2,0.04642625104947768,0.00738177391686685,0.028433414681534715,0.010611062451076118
0x0abff2aa7cb7eea0c320da3fd1480fa6d1afc603faf85952e4aa3c3dd96d1456,13469985,0,1,2,0.1971069942037796,0.04218089675960875,0.030944159715218897,0.12398193772895195
0x0b416bb33beae4b6cbed384fe4ea814691cb0ad1a1287f8043155c16073dc0aa,13651081,3,1,2,0.008880397415064205,0.00182048147008812,0.00640348137074538,0.0006564345742307055
0x0b6ce47121e480b2b978d68e589e54b9d35334f5893ad4b304196bf6d743e908,13656253,0,1,2,0.4196209109277017,0.20729272999828444,0.020648721261875905,0.1916794596675414
0x0be84fc3559ab5c55005bba90f9878c25aa280d6f056e3c93bda111184b959aa,13694340,2,1,2,0.01752521056735711,0.005397764854745894,0.00899531614125918,0.0031321295713520343
0x0ca7613ba7b09005142415c811f85c941977d2b0b4e7662719ef34d866591acd,13716640,0,1,1,0.4628839379069768,0.1125449,0.07456103847215309,0.27577799943482373
0x0ca79fdbad4258f0e16315c2e04689311a60cf3ac13721669387c0a011f446d1,13700495,111,1,2,0.00925190086437558,0.001665342155587572,0.006047957644794912,0.001538601063993096
0x0d69ddeddaea7b43876467e3f786452ad0f3c9d7a271fa24ca851fce5fb58071,13544653,0,1,1,0.2407576646806223,0.24075766447738972,0.042578487043820855,-0.0425784868405883
0x0d89fc6d34d19eeba554a1bcb2ec37b873c3612c7c16df043bcb146852d07760,13742038,0,1,1,0.023676302248840837,0.0038422,0.011260889889827763,0.008573212359013073
